date,latitude,longitude,depth,mag,status,locationSource,magSource,is_replica
23748,-9.687,-79.373,35,4.9,automatic,IGP,IGP,0
23749,-3.1,-76.7,30,4.9,automatic,IGP,IGP,1
23749,-15.5,-70.89,0,4.8,automatic,IGP,IGP,1
23751,-9.8,-80,26,4.9,automatic,IGP,IGP,0
23752,-3.32,-81.4,22,5.2,automatic,IGP,IGP,0
23753,-16.8,-74.9,33,4.8,automatic,IGP,IGP,1
23754,-9.747,-74.983,36,5.6,automatic,IGP,IGP,0
23756,-5.648,-81.366,32,5.8,automatic,IGP,IGP,0
23765,-8.4,-74.5,33,4.7,automatic,IGP,IGP,1
23767,-9.478,-74.474,115,4.7,automatic,IGP,IGP,1
23768,-14.379,-75.757,57,4.7,automatic,IGP,IGP,1
23770,-12.86,-78.58,16,5.2,automatic,IGP,IGP,1
23786,-5.9,-77.6,69,4.9,automatic,IGP,IGP,0
23791,-10.068,-71.101,585,5.5,automatic,IGP,IGP,1
23792,-7.52,-74.68,138,4.9,automatic,IGP,IGP,0
23793,-18.455,-72.71,15,5.3,automatic,IGP,IGP,1
23810,-13.52,-72.79,40,4.6,automatic,IGP,IGP,1
23812,-18.27,-71.36,68,4.5,automatic,IGP,IGP,0
23813,-5.799,-77.856,38,5.3,automatic,IGP,IGP,1
23816,-17.5,-74.9,13,5.8,automatic,IGP,IGP,1
23825,-18.457,-69.96,100,4.9,automatic,IGP,IGP,1
23829,-15.277,-72.432,118,5,automatic,IGP,IGP,0
23829,-15.935,-74.16,68,5.6,automatic,IGP,IGP,1
23836,-8.83,-74.413,143,5.5,automatic,IGP,IGP,0
23838,-3.146,-78.252,93,5.3,automatic,IGP,IGP,1
23840,-8.327,-79.607,35,4.7,automatic,IGP,IGP,0
23847,-5.72,-75.6,33,4.9,automatic,IGP,IGP,1
23854,-5.997,-78.642,111,5,automatic,IGP,IGP,1
23859,-13.68,-75.896,78,5.2,automatic,IGP,IGP,1
23860,-14.205,-76.155,70,4.7,automatic,IGP,IGP,0
23866,-16.53,-73.33,78,4.9,automatic,IGP,IGP,0
23867,-13.861,-75.861,89,5,automatic,IGP,IGP,0
23870,-13.7,-71.6,20,4.8,automatic,IGP,IGP,0
23871,-2.796,-77.233,112,5.2,automatic,IGP,IGP,1
23872,-17.335,-70.692,107,4.9,automatic,IGP,IGP,1
23873,-6.7,-80.9,71,4.6,automatic,IGP,IGP,1
23874,-14.002,-76.54,37,5,automatic,IGP,IGP,1
23882,-3.77,-80.76,30,4.9,automatic,IGP,IGP,0
23891,-10.1,-74.4,33,4.6,automatic,IGP,IGP,1
